Timestamp,Force_x,Force_y,Force_z,Torque_x,Torque_y,Torque_z
2025-01-25 20:14:34.129352,-0.015,0.275,-2.182,0.052,-0.005,-0.008
2025-01-25 20:14:36.130306,0.0,0.336,-2.121,0.05,-0.005,-0.007
2025-01-25 20:14:38.131169,0.015,0.29,-2.121,0.049,-0.004,-0.008
2025-01-25 20:14:40.131205,0.015,0.29,-2.09,0.048,-0.005,-0.007
2025-01-25 20:14:42.131982,0.031,0.275,-2.106,0.048,-0.005,-0.007
2025-01-25 20:14:44.132780,0.031,0.259,-2.029,0.047,-0.004,-0.007
2025-01-25 20:14:46.133663,-0.031,0.275,-2.09,0.046,-0.004,-0.008
2025-01-25 20:14:48.134567,-0.046,0.259,-2.014,0.046,-0.004,-0.007
2025-01-25 20:14:50.135473,0.015,0.275,-2.106,0.045,-0.004,-0.007
2025-01-25 20:14:52.136402,-0.015,0.29,-1.984,0.045,-0.005,-0.006
2025-01-25 20:14:54.137304,0.0,0.244,-2.045,0.044,-0.004,-0.007
2025-01-25 20:14:56.138155,-0.046,0.32,-2.014,0.044,-0.005,-0.007
